Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Series A - FINNY,https://www.crunchbase.com/funding_round/finny-6acf-series-a--adad609e,FINNY,https://www.crunchbase.com/organization/finny-6acf,Series A,17000000,USD,17000000,2025-12-18,FINNY is an AI-powered prospecting and marketing platform that helps financial advisors identify and connect with potential clients.,"Artificial Intelligence (AI), Consulting, Machine Learning, Wealth Management",https://finny.com,Venrock,"Activant Capital, Crossbeam Venture Partners, Hanover Technology Investment Management, Jason Wenk, Liquid 2 Ventures, Maple VC, Restive, Venrock, William McNabb, Y Combinator"
Series A - Protege,https://www.crunchbase.com/funding_round/protege-7b9e-series-a--3cc656d6,Protege,https://www.crunchbase.com/organization/protege-7b9e,Series A,30000000,USD,30000000,2026-01-07,Protege is the AI training data platform enabling seamless and compliant data exchange.,"Analytics, Artificial Intelligence (AI), Data Management",https://www.withprotege.ai,Andreessen Horowitz,"Andreessen Horowitz, Bloomberg Beta, CRV, Flex Capital, Footwork, Shaper Capital"
Seed Round - Dazzle AI,https://www.crunchbase.com/funding_round/dazzle-ai-seed--74d556e8,Dazzle AI,https://www.crunchbase.com/organization/dazzle-ai,Seed,8000000,USD,8000000,2025-12-23,Dazzle AI is a tech company that offers an AI personal assistant.,"Artificial Intelligence (AI), SaaS, Virtual Assistant",https://dazzle.ai/,Forerunner,"Acquired Wisdom Fund, Amino Capital, Bling Capital, Forerunner, Greycroft, Kleiner Perkins, Marissa Mayer, Offline Ventures, Slow Ventures"
Series A - Nitro Commerce,https://www.crunchbase.com/funding_round/nitro-commerce-series-a--6a064457,Nitro Commerce,https://www.crunchbase.com/organization/nitro-commerce,Series A,5000000,USD,5000000,2026-01-07,Nitro Commerce provides AI tools to help them reach their greatest potential.,"Artificial Intelligence (AI), Information Technology",https://nitrocommerce.ai/get-started,Cornerstone Ventures,"Anicut Angel Fund, Ankurit Capital, Cornerstone Ventures, Equentis, Finvolve, India Accelerator, Razorpay Ventures, Rukam Capital"
Series A - BriefCatch,https://www.crunchbase.com/funding_round/briefcatch-series-a--01dd0d3f,BriefCatch,https://www.crunchbase.com/organization/briefcatch,Series A,6000000,USD,6000000,2025-12-22,BriefCatch is a legal technology company that develops an AI-enhanced writing platform to help legal professionals refine legal documents.,"Artificial Intelligence (AI), Document Management, Legal Tech, SaaS",https://briefcatch.com,Full In,Full In
Series A - Equixly API Security,https://www.crunchbase.com/funding_round/equixely-series-a--9c94b445,Equixly API Security,https://www.crunchbase.com/organization/equixely,Series A,10000000,EUR,11645795,2025-12-09,"Europe's Top-Tiered Agentic AI Hacker, Mastering API Security Testing","Agentic AI, Artificial Intelligence (AI), Cyber Security, Developer APIs, Developer Tools, DevOps, Enterprise Software, Machine Learning, Security",https://equixly.com/,33N Ventures,"33N Ventures, 360 Capital, Alpha Intelligence Capital, Fondazione CR Firenze, JME Ventures"
Series A - Prime Security,https://www.crunchbase.com/funding_round/prime-security-series-a--ed571345,Prime Security,https://www.crunchbase.com/organization/prime-security,Series A,20000000,USD,20000000,2025-12-09,AI Agents for Product Security,"Artificial Intelligence (AI), Cyber Security",https://primesec.ai/,Scale Venture Partners,"Flybridge, Foundation Capital, Ofir Ehrlich, PayPal Ventures, Scale Venture Partners"
Seed Round - Kontigo,https://www.crunchbase.com/funding_round/kontigo-inc-seed--3e9431d4,Kontigo,https://www.crunchbase.com/organization/kontigo-inc,Seed,20000000,USD,20000000,2025-09-01,The world's stablecoin neobank.,"Artificial Intelligence (AI), FinTech, Software",https://kontigo.lat,,"Alumni Ventures, Coinbase, Coinbase Ventures, DST Global, Evan Cheng, Founders, Inc., FoundersX Ventures, Goodwater Capital, Goodwater Genesis, HF0 Residency, HFO, Hi2 Venture Fund, Matteo Franceschetti, Neer Venture Partners, Oliver Jung, Orange Collective, Philippe Teixeira da Mota, Pioneer Fund, Soma Capital, Tom Brown, Transpose Platform Management, Vicente Zavarce, Y Combinator"
Seed Round - Multifactor,https://www.crunchbase.com/funding_round/multifactor-seed--80cd4aa2,Multifactor,https://www.crunchbase.com/organization/multifactor,Seed,15000000,USD,15000000,2025-12-04,"Multifactor provides secure identity management with authentication, authorization, and auditing using strong cryptography.","Artificial Intelligence (AI), Cyber Security, Identity Management, Network Security, Security",https://multifactor.com,Nexus Venture Partners,"Flex Capital, Gokul Rajaram, Honeystone Ventures, Liquid 2 Ventures, Mathilde Collin, Mohan Warrior, Nexus Venture Partners, Padmasree Warrior, Pioneer Fund, Ritual Capital, Spot VC, Taurus Ventures, Y Combinator"
Seed Round - Surf AI,https://www.crunchbase.com/funding_round/surf-ai-seed--3cc1f4c2,Surf AI,https://www.crunchbase.com/organization/surf-ai,Seed,15000000,USD,15000000,2025-12-10,Surf AI is an AI-driven platform that focuses on cryptocurrency analysis and research.,"Artificial Intelligence (AI), FinTech, Software",https://asksurf.ai/,Pantera Capital,"Coinbase Ventures, Digital Currency Group, Pantera Capital"
