Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Organization Description,Organization Industries,Organization Website,Lead Investors,Investor Names
Series C - Rain,https://www.crunchbase.com/funding_round/rain-855d-series-c--cd312ed6,Rain,https://www.crunchbase.com/organization/rain-855d,Series C,250000000,USD,250000000,2026-01-09,Rain is a stablecoin infrastructure platform offering wallets and global transfers through a unified API for enterprises and neobanks.,"Blockchain, Cryptocurrency, Decentralized Finance (DeFi), FinTech, Web3",https://www.rain.xyz,ICONIQ Capital,"Bessemer Venture Partners, Dragonfly, Endeavor Catalyst, FirstMark, Galaxy Ventures, ICONIQ Capital, Lightspeed Venture Partners, Norwest, Sapphire Ventures"
Post-IPO Equity - Genelux,https://www.crunchbase.com/funding_round/genelux-post-ipo-equity--cddd855c,Genelux,https://www.crunchbase.com/organization/genelux,Post-IPO Equity,20000000,USD,20000000,2026-01-09,Genelux is a biopharmaceutical company that develops diagnostic and therapeutic solutions for cancer and inflammatory diseases.,"Biopharma, Biotechnology, Health Care, Health Diagnostics",http://genelux.com,,
Post-IPO Equity - Apollo Micro Systems,https://www.crunchbase.com/funding_round/apollo-micro-systems-post-ipo-equity--483f0869,Apollo Micro Systems,https://www.crunchbase.com/organization/apollo-micro-systems,Post-IPO Equity,12147964,INR,134634,2026-01-09,"Apollo Micro Systems engaged in the business of electronic, electro-mechanical, engineering designs, manufacturing and supply.","Industrial Manufacturing, Machinery Manufacturing, Manufacturing",http://apollo-micro.com/,,
Pre Seed Round - Rollo Robotics,https://www.crunchbase.com/funding_round/rollo-robotics-pre-seed--1283cc56,Rollo Robotics,https://www.crunchbase.com/organization/rollo-robotics,Pre-Seed,3700000,EUR,4309697,2026-01-09,Rollo Robotics develops autonomous monowheel security robots using gyroscopic stabilisation technology.,"Robotic Process Automation (RPA), Robotics, Security",https://1rollo.com/,FoodLabs,"Enterprise Estonia, FoodLabs"
Corporate Round - Traveltime E-Mobility,https://www.crunchbase.com/funding_round/traveltime-e-mobility-corporate-round--52108426,Traveltime E-Mobility,https://www.crunchbase.com/organization/traveltime-e-mobility,Corporate Round,351350,INR,3894,2026-01-09,"Traveltime E-Mobility operates within the service sector, focusing on the operation and maintenance of electric buses.",,,TML Smart City Mobility Solutions,TML Smart City Mobility Solutions
Pre Seed Round - Tably,https://www.crunchbase.com/funding_round/tably-pre-seed--fa64c476,Tably,https://www.crunchbase.com/organization/tably,Pre-Seed,1000000,USD,1000000,2026-02-06,The fastest all-in-one data tool yet,"Analytics, Software",https://tably.com,,"Connect Ventures, Lightbird"
Post-IPO Debt - Saudi Telecom Company,https://www.crunchbase.com/funding_round/stc-saudi-telecom-co-post-ipo-debt--dee8882a,Saudi Telecom Company,https://www.crunchbase.com/organization/stc-saudi-telecom-co,Post-IPO Debt,2000000000,USD,2000000000,2026-01-09,Saudi Telecom Company is a telecommunications service provider.,"Communications Infrastructure, Digital Entertainment, Digital Media, Mobile, Service Industry, Telecommunications",http://www.stc.com.sa,,
Series A - Enterprise Srl,https://www.crunchbase.com/funding_round/enterprise-1078-series-a--eec446ae,Enterprise Srl,https://www.crunchbase.com/organization/enterprise-1078,Series A,,,,2026-02-01,"SIEM, Log Management, Data Loss Prevention, Artificial Intelligence, Compliance, SOC on-premise, Industrial IoT Security , NIS2 Tool","Cyber Security, Database, Data Governance, Data Management, Information Technology, Internet of Things, IT Infrastructure, IT Management, Software",https://www.businesslogmanagement.com/,,
Series A - DebitMyData,https://www.crunchbase.com/funding_round/debitmydata-series-a--ee9d5d51,DebitMyData,https://www.crunchbase.com/organization/debitmydata,Series A,,,,2026-01-10,"Foundational Model (DID) LLM, Agentic Logo System, Human Energy Grid, Blockchain, NFT Custom Logo and Facial Recognition","Advertising, Agentic AI, Artificial Intelligence (AI), Blockchain, Cryptocurrency, Cyber Security, Data Center, Data Collection and Labeling, Foundational AI, Machine Learning",http://www.debitmydata.com,,
Pre Seed Round - Scholé,https://www.crunchbase.com/funding_round/scholé-pre-seed--b433a596,Scholé,https://www.crunchbase.com/organization/scholé,Pre-Seed,2875000,USD,2875000,2026-01-15,AI-native personalized learning,Education,https://www.schole.ai,,
Pre Seed Round - ezbillpay,https://www.crunchbase.com/funding_round/ezbillpay-pre-seed--557d7f9f,ezbillpay,https://www.crunchbase.com/organization/ezbillpay,Pre-Seed,,,,2026-02-01,"ezbillpay provides payment gateway that enables businesses to accept various payment methods, including credit cards and digital wallets.","Financial Services, FinTech, Payments, SaaS",https://ezbillpay.in,,
